Wavelength (m) ,E_ph (J),a0v,a5v,f5v,g0v,g5v,k0v,k5v,m0v,m5v
3.050E-07,6.513E-19,3.565E-02,2.791E-02,2.195E-02,1.973E-02,1.632E-02,3.736E-03,1.590E-03,1.153E-03,1.825E-03
3.060E-07,6.492E-19,3.538E-02,2.780E-02,2.210E-02,1.963E-02,1.271E-02,3.277E-03,1.447E-03,8.800E-04,1.393E-03
3.070E-07,6.470E-19,3.541E-02,2.827E-02,2.234E-02,1.975E-02,1.563E-02,3.655E-03,1.614E-03,9.199E-04,1.456E-03
3.080E-07,6.449E-19,3.549E-02,2.873E-02,2.259E-02,1.986E-02,1.448E-02,4.431E-03,1.900E-03,1.154E-03,1.828E-03
3.090E-07,6.429E-19,3.492E-02,2.846E-02,2.259E-02,1.995E-02,1.231E-02,4.148E-03,1.833E-03,1.320E-03,2.090E-03
3.100E-07,6.408E-19,3.507E-02,2.819E-02,2.259E-02,2.005E-02,1.098E-02,3.788E-03,2.112E-03,1.375E-03,2.176E-03
3.110E-07,6.387E-19,3.523E-02,2.825E-02,2.306E-02,2.038E-02,1.551E-02,5.810E-03,2.809E-03,1.942E-03,3.075E-03
3.120E-07,6.367E-19,3.434E-02,2.832E-02,2.354E-02,2.072E-02,1.545E-02,5.260E-03,2.617E-03,1.703E-03,2.696E-03
3.130E-07,6.346E-19,3.441E-02,2.858E-02,2.369E-02,2.079E-02,1.567E-02,4.948E-03,2.825E-03,1.396E-03,2.211E-03
3.140E-07,6.326E-19,3.507E-02,2.885E-02,2.384E-02,2.086E-02,1.600E-02,5.559E-03,3.271E-03,9.568E-04,1.515E-03
3.150E-07,6.306E-19,3.483E-02,2.891E-02,2.369E-02,2.105E-02,1.618E-02,5.476E-03,3.380E-03,1.671E-03,2.645E-03
3.160E-07,6.286E-19,3.389E-02,2.897E-02,2.354E-02,2.125E-02,1.436E-02,4.938E-03,3.800E-03,1.700E-03,2.692E-03
3.170E-07,6.266E-19,3.444E-02,2.903E-02,2.377E-02,2.090E-02,1.670E-02,6.215E-03,4.780E-03,1.100E-03,1.742E-03
3.180E-07,6.247E-19,3.323E-02,2.909E-02,2.401E-02,2.054E-02,1.677E-02,6.308E-03,4.934E-03,1.512E-03,2.394E-03
3.190E-07,6.227E-19,3.374E-02,2.909E-02,2.440E-02,2.131E-02,1.645E-02,5.997E-03,4.469E-03,1.659E-03,2.627E-03
3.200E-07,6.208E-19,3.417E-02,2.909E-02,2.480E-02,2.208E-02,1.696E-02,6.291E-03,4.280E-03,2.207E-03,3.495E-03
